service_code,group_a,group_b,name_legacy,price_legacy
0159,2,1,ODBARWIANIE WL KROTKIE,"15,00"
0160,2,1,ODBARWIANIE WL SREDNIE,"60,00"
0161,2,1,ODBARWIANIE WL DLUGIE,"70,00"
0162,2,1,PASEMKA WL KROTKIE,"80,00"
0163,2,1,PASEMKA WL SREDNIE,"125,50"
0164,2,1,PASEMKA WL DLUGIE,"135,50"
0165,2,1,NAKLADANIE PASEMEK,"145,50"
0171,2,1,KONTUR WOK.TWARZY,"5,00"
0168,2,1,DEMAKIJAZ 1 SASZETKA,"20,00"
0169,2,1,MODYFIKACJA SASZETKA,"30,00"
0170,2,1,NAKLADANIE DEMAKIJAZ MODYFIKAC,"30,00"
0173,2,1,ODBARWIANIE ODROSTOW DO 3CM,"10,00"
0186,2,1,NAKLADANIE COVER 5,"210,00"
0174,2,1,NAKLADANIE ODBARWIENIA,"40,00"
0175,2,1,KOLORYZACJA WL KROTKIE,"5,00"
0176,2,1,KOLORYZACJA WL SREDNIE,"110,00"
0177,2,1,KOLORYZACJA WL DLUGIE,"110,00"
0178,2,1,NAKLADANIE KOLORU,"141,00"
0180,2,1,PREKOLORYZACJA WL KR I SR,"20,00"
0185,2,1,COVER  5,"15,00"
0181,2,1,BALEYAGE WL KROTKIE,"45,00"
0182,2,1,BALEYAGE WL SREDNIE,"125,50"
0183,2,1,BALEYAGE WL DLUGIE,"135,50"
0184,2,1,NAKLADANIE BALEYAGE,"145,50"
0187,2,1,PREKOLORYZACJA WL DL,"20,00"
0189,2,1,TRWALA WL KROTKIE,"45,00"
0190,2,1,TRWALA WL SREDNIE,"55,00"
0191,2,1,TRWALA WL DLUGIE,"65,00"
0192,2,1,ZABEZPIECZANIE,"40,00"
0193,2,1,TRWALA CZESCIOWA,"45,00"
0194,2,1,NAKRECANIE TRWALEJ,"20,00"
0200,4,4,SPRZEDAZ KERASTASE,
0201,4,4,SPRZEDAZ LOREAL,
0300,3,3,HENNA BRWI,
0301,3,3,HENNA RZESY,
0302,3,3,REGULACJA,
0303,3,3,HENNA KOMPLET + REGULACJA,
0305,3,3,HENNA BRWI+REG,
0306,3,3,PRZEDLUZENIE RZES HOLLYWOD,
0309,3,3,LIFTING RZES,
0313,3,3,MANICURE Z OPI,
0321,3,3,MANICURE HYBRYDA FRENCH+ZDJECI,
0323,3,3,ZDJECIE HYBRYDA STOPY,
0324,3,3,MANICURE + BAZA WZMACNIAJACA,
0330,3,3,MAN Z UTW ZEL/AKRYL+HYB,
0331,3,3,MAN Z PREDL ZEL/AKRYL +HYB,
0332,3,3,PEDICURE HYB + ZDJECIE,
0333,3,3,PEDICURE KWAS+HYBRYDA+ZDJECIE,
0320,3,3,MANICURE HYBRYDA +ZDJECIE,
0316,3,3,PEDICURE KLASYCZNY/OPI/VINYLUX,
0318,3,3,MANICURE Z OPI FRENCH,
0700,3,3,DEPILACJA CALE NOGI,
0701,3,3,DEPILACJA  1/2 NOGI,
0702,3,3,DEPILACJA BIKINI PLYTKA,
0310,3,3,MANICURE Z ODZYWKA/KREM,
0311,3,3,MANICURE JAPONSKI,
0317,3,3,PEDICURE KWASOWY/OPI/VINYLUX,
0307,3,3,LAMINACJA BRWI I RZES,
0308,3,3,LAMINACJA BRWI,
0319,3,3,MANICURE Z VINYLUX,
0322,3,3,ZDJECIE HYBRYDA,
0325,3,3,MANICURE+BAZA WZM + HYBRYDA,
0327,3,3,MANICURE+HYBRYDA+ZDOBIENIA,
0328,3,3,PRZEMALOWANIE HYBRYDA/VINYLUX,
0329,3,3,MANICURE Z UZUP ZEL/AKRYL+HYB,
0005,1,2,MYCIE JOICO,
0021,1,1,MASKA OLAPLEX,"50,00"
0025,1,1,BOSTER CHROMA ABSOLU,"42,00"
0054,1,2,STYLYZACJA SYLWESTROWA,
0125,2,1,BOSTER BRILANCE,"42,00"
0703,3,3,DEPILACJA PACHY,
0704,3,3,DEPILACJA CALE RECE,
0705,3,3,DEPILACJA WASIK I BRODA,
0707,3,3,DEPILACJA BRWI,
0708,3,3,DEPILACJA NOS/USZY,
0709,3,3,DEPILACJA PLECY,
0710,3,3,DEPILACJA BRZUCH/KLATKA,
0400,1,1,PROSTOWANIE WLOSOW KROTKICH,
0401,1,1,PROSTOWANIE WLOSOW SREDNICH,
0402,1,1,PROSTOWANIE WLOSOW DLUGICH,
0403,1,1,PROSTOWANIE GRZYWKI,
0404,1,1,DOPLATA 10 ML KERATYNY,
0136,2,2,CIECIE CHLOPIEC DO 18 LAT,"15,00"
0135,2,2,CIECIE CHLOPIEC  DO 6 LAT,"15,00"
0204,4,4,SPRZEDAZ INNE,
0314,3,3,1/2 PEDICURE + KREM,
0018,1,1,MASKA LOREAL,"68,00"
0023,1,1,BOSTER RECONSTRUCTION,"44,00"
0109,2,2,CIECIE MASZYNKA,"30,00"
0036,1,1,MASKA CHRONOLOGISTE PREMIERE,"15,00"
0037,1,2,CIECIE STUDENTKA,"15,00"
0034,1,1,BOSTER GENESIS,"15,00"
0035,1,2,CIECIE DZIEWCZYNA,"15,00"
0207,4,4,SPRZEDAZ JOICO,
0121,2,1,MASKA OLAPLEX,"50,00"
0118,2,1,MASKA LOREAL,"68,00"
0009,1,2,ZMIANA WIZERUNKU,"30,00"
0137,2,2,CIECIE STUDENT,"15,00"
0145,2,2,STYLIZACJA SYLWESTROWA,"20,00"
0150,2,2,STYLIZACJA,
0032,1,1,MASKA JOICO,"15,00"
0033,1,1,KONCENTRAT CURL MANIFESTO,"15,00"
0138,2,1,K18-MASKA,"15,00"
0139,2,1,K18-MGIELKA,"15,00"
0066,1,1,OLAPLEX/SMARTBOND,"210,00"
0132,2,1,MASKA JOICO,"15,00"
0072,1,1,REKONS. OLAPLEX,"10,00"
0179,2,1,TONOWANIE 4 DOZY,"20,00"
0405,1,1,PROSTOWANIE WL. BARDZO DLUGICH,
0208,4,4,SPRZEDAZ LUXURY,
0011,1,1,AMPU£KA NUTRI/ORO/ARGAN,"0,00"
0406,1,2,45 CM KANAPKA PRZEDLUZANIE,
0407,1,2,45 CM KANAPKA ZAGESZCZANIE,
0408,1,2,55 CM KANAPKA PRZEDLUZANIE,
0409,1,2,55 CM KANAPKA ZAGESZCZANIE,
0410,1,2,45 CM W£OSY  KANAP.,
0411,1,2,55 CM W£OSY  KANAP.,
0412,1,2,ZDJECIE W£OSOW KANAPKA,
0413,1,2,II PRZEDLUZANIE,
0414,1,2,II ZAGESZCZANIE,
0067,1,1,DOPLATA DO LOREAL,"20,00"
0711,3,3,DEPILACJA BIKINI PELNA,
0712,3,3,DEPILACJA CALE CIALO,
0151,2,2,STYLIZACJA STYMULISTE,
0152,2,2,STYLIZACJA PREMIUM,
0040,1,1,MASKA BE COLOR / RR,"13,00"
0131,2,1,COVER5 BRODA,"15,00"
0205,4,4,SPRZEDAZ CHI,
0304,3,3,HENNA PUDROWA,
0315,3,3,1/2 PEDICURE HYB/OPI/VINYLUX,
0133,2,1,KONCENTRAT CURL MANIFESTO,"15,00"
0206,4,4,SPRZEDAZ YODEYMA,
0209,4,4,SPRZEDAZ OLAPLEX,
0140,2,1,MASKA BE COLOR,"13,00"
0202,4,4,BE HAIR SPRZEDAZ,
0210,4,4,SPRZEDAZ LUCIANOPIERANTONI,
0203,4,4,SPRZEDAZ STAPIZ,
0166,2,1,OLAPLEX,"20,00"
0326,3,3,MANICURE+HYBRYDA OMBRE,
