service_code,name,service_type_code,service_type_label,grouping_code,grouping_label,family_code,family_label,vat_code,vat_label,duration_minutes,price,price_holiday,legacy_services_price_raw
0049,UPIECIE WIECZOROWE WL DL,1,PANI,2,COIFFURE,03,CZESANIE,1,°AVAT,0,300.0,300.0,"100,00"
0050,UPIECIE WIECZOROWE WL B.DL,1,PANI,2,COIFFURE,03,CZESANIE,1,°AVAT,0,400.0,400.0,"75,00"
0051,UPIECIE SYLWESTROWE,1,PANI,2,COIFFURE,03,CZESANIE,1,°AVAT,0,150.0,150.0,"110,00"
0052,WARKOCZ,1,PANI,2,COIFFURE,03,CZESANIE,1,°AVAT,0,120.0,120.0,"10,00"
0053,STYLIZACJA,1,PANI,2,COIFFURE,12,STYLIZACJA,1,°AVAT,0,3.0,3.0,"3,00"
0054,STYLYZACJA SYLWESTROWA,1,PANI,2,COIFFURE,12,STYLIZACJA,1,°AVAT,0,15.0,15.0,
0055,BALEYAGE WL KROTKIE,1,PANI,1,TECHNIQUE,04,ODBARWIANIE,1,°AVAT,0,260.0,260.0,"125,50"
0056,BALEYAGE WL SREDNNIE,1,PANI,1,TECHNIQUE,04,ODBARWIANIE,1,°AVAT,0,300.0,300.0,"135,50"
0057,BALEYAGE WL DLUGIE,1,PANI,1,TECHNIQUE,04,ODBARWIANIE,1,°AVAT,0,350.0,350.0,"145,50"
0058,NAKLADANIE BALEYAGE,1,PANI,1,TECHNIQUE,04,ODBARWIANIE,1,°AVAT,0,20.0,20.0,"15,00"
0059,ODBARWIANIE WLOSY KROTKIE,1,PANI,1,TECHNIQUE,04,ODBARWIANIE,1,°AVAT,0,100.0,100.0,"60,00"
0060,ODBARWIANIE WL SREDNIE,1,PANI,1,TECHNIQUE,04,ODBARWIANIE,1,°AVAT,0,120.0,120.0,"70,00"
0061,ODBARWIANIE WL DLUGIE,1,PANI,1,TECHNIQUE,04,ODBARWIANIE,1,°AVAT,0,150.0,150.0,"80,00"
0062,PASEMKA WLOSY KROTKIE,1,PANI,1,TECHNIQUE,04,ODBARWIANIE,1,°AVAT,0,260.0,260.0,"125,50"
0063,PASEMKA WL SREDNIE,1,PANI,1,TECHNIQUE,04,ODBARWIANIE,1,°AVAT,0,300.0,300.0,"135,50"
0064,PASEMKA WL DLUGIE,1,PANI,1,TECHNIQUE,04,ODBARWIANIE,1,°AVAT,0,350.0,350.0,"145,50"
0065,NAKLADANIE PASEMEK,1,PANI,1,TECHNIQUE,04,ODBARWIANIE,1,°AVAT,0,30.0,30.0,"20,00"
0066,OLAPLEX/SMARTBOND,1,PANI,1,TECHNIQUE,04,ODBARWIANIE,1,°AVAT,0,150.0,150.0,"210,00"
0067,DOPLATA DO LOREAL,1,PANI,1,TECHNIQUE,06,KOLORYZACJA,1,°AVAT,0,40.0,40.0,"20,00"
0068,DEMAKIJAZ 1 SZASZETKA,1,PANI,1,TECHNIQUE,04,ODBARWIANIE,1,°AVAT,0,50.0,50.0,"30,00"
0069,MODYFIKACJA SASZETKA,1,PANI,1,TECHNIQUE,04,ODBARWIANIE,1,°AVAT,0,50.0,50.0,"30,00"
0070,NAKLADANIE DEMAKIJAZ/MODYFIKAC,1,PANI,1,TECHNIQUE,04,ODBARWIANIE,1,°AVAT,0,10.0,10.0,"5,00"
0071,KONTUR WOK.TWARZY,1,PANI,1,TECHNIQUE,04,ODBARWIANIE,1,°AVAT,0,300.0,300.0,"75,00"
0072,REKONS. OLAPLEX,1,PANI,1,TECHNIQUE,04,ODBARWIANIE,1,°AVAT,0,200.0,200.0,"10,00"
0073,ODBARWIANIE ODROSTOW DO 3CM,1,PANI,1,TECHNIQUE,04,ODBARWIANIE,1,°AVAT,0,90.0,90.0,"40,00"
0074,NAKLADANIE ODBARWIANIA,1,PANI,1,TECHNIQUE,04,ODBARWIANIE,1,°AVAT,0,10.0,10.0,"5,00"
0075,KOLORYZACJA WL KROTKIE,1,PANI,1,TECHNIQUE,06,KOLORYZACJA,1,°AVAT,0,200.0,200.0,"110,00"
0076,KOLORYZACJA WL SREDNIE,1,PANI,1,TECHNIQUE,06,KOLORYZACJA,1,°AVAT,0,250.0,250.0,"110,00"
0077,KOLORYZACJA WL DLUGIE,1,PANI,1,TECHNIQUE,06,KOLORYZACJA,1,°AVAT,0,300.0,300.0,"141,00"
0078,NAKLADANIE KOLORU,1,PANI,1,TECHNIQUE,06,KOLORYZACJA,1,°AVAT,0,25.0,25.0,"20,00"
0079,TONOWANIE 4DOZY,1,PANI,1,TECHNIQUE,06,KOLORYZACJA,1,°AVAT,0,200.0,200.0,"20,00"
0080,PREKOLORYZACJA WL KR I SR,1,PANI,1,TECHNIQUE,06,KOLORYZACJA,1,°AVAT,0,150.0,150.0,"45,00"
0081,BALEYAGE WL KROTKIE,1,PANI,1,TECHNIQUE,06,KOLORYZACJA,1,°AVAT,0,260.0,260.0,"125,50"
0082,BALEYAGE WL SREDNIE,1,PANI,1,TECHNIQUE,06,KOLORYZACJA,1,°AVAT,0,300.0,300.0,"135,50"
0083,BALEYAGE WL DLUGIE,1,PANI,1,TECHNIQUE,06,KOLORYZACJA,1,°AVAT,0,350.0,350.0,"145,50"
0084,NAKLADANIE BALEYAGE.,1,PANI,1,TECHNIQUE,06,KOLORYZACJA,1,°AVAT,0,20.0,20.0,"15,00"
0085,DOPLATA AIRTOUCH,1,PANI,1,TECHNIQUE,06,KOLORYZACJA,1,°AVAT,0,300.0,300.0,"210,00"
0086,DOPLATA WLOSY BARDZO DLUGIE,1,PANI,1,TECHNIQUE,06,KOLORYZACJA,1,°AVAT,0,60.0,60.0,"20,00"
0087,PREKOLORYZACJA WL. DL,1,PANI,1,TECHNIQUE,06,KOLORYZACJA,1,°AVAT,0,180.0,180.0,"80,00"
0088,TRWALA WL KROTKIE,1,PANI,1,TECHNIQUE,07,TRWALA,1,°AVAT,0,350.0,350.0,"45,00"
0089,TRWALA WL SREDNIE,1,PANI,1,TECHNIQUE,07,TRWALA,1,°AVAT,0,450.0,450.0,"55,00"
0090,TRWALA WL DLUGIE,1,PANI,1,TECHNIQUE,07,TRWALA,1,°AVAT,0,500.0,500.0,"65,00"
0091,ZABEZPIECZANIE,1,PANI,1,TECHNIQUE,0000,,O,,60,0.0,0.0,"40,00"
0092,TRWALA CZESCIOWA,1,PANI,1,TECHNIQUE,07,TRWALA,1,°AVAT,0,150.0,150.0,"45,00"
0093,NAKRECANIE TRWALEJ,1,PANI,1,TECHNIQUE,07,TRWALA,1,°AVAT,0,60.0,60.0,"20,00"
